epochs,iterations,vip_layers,bnn_layer_str,time,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
21,150000,[1],BayesLinear,1077.782349193,226.7863922119141,31.906992,4.881952285766602,15.189669609069824,247.06317138671875,37.672256,5.084724426269531,17.717498779296875
21,150000,[1],SimplerBayesLinear,2863.372885475,228.6884613037109,34.405994,4.957703590393066,16.66800308227539,243.9638671875,39.1049,5.110448837280273,18.65199851989746
43,300000,[1],BayesLinear,4962.797085876,228.5819091796875,31.70108,4.875277042388916,15.068266868591309,248.4327087402344,37.47227,5.073776721954346,17.545459747314453
43,300000,[1],SimplerBayesLinear,11069.687683921,230.05247497558597,33.9781,4.944690227508545,16.03412628173828,245.8225555419922,38.915337,5.102381706237793,18.032936096191406
21,150000,[2],BayesLinear,2019.978539791,746.906982421875,31.693157,4.872261047363281,15.150352478027344,769.8578491210938,38.09342,5.099810123443604,17.973478317260742
21,150000,[2],SimplerBayesLinear,6906.589947033,765.8482055664062,32.668724,4.903744220733643,15.708744049072266,783.641357421875,37.915356,5.080632209777832,18.009136199951172
43,300000,[2],BayesLinear,3834.544013483,756.8255004882812,31.366982,4.862673759460449,14.957388877868652,778.1754760742188,37.517002,5.075316429138184,17.582542419433594
43,300000,[2],SimplerBayesLinear,6359.547646639,752.787841796875,32.44928,4.897494792938232,15.408294677734377,769.9982299804688,37.643227,5.06939697265625,17.59527587890625
21,150000,[3],BayesLinear,2974.258730206,1165.9794921875,31.739857,4.870286464691162,15.071771621704102,1187.528564453125,37.82955,5.082508087158203,17.69236946105957
21,150000,[3],SimplerBayesLinear,10597.938081365,1150.2135009765625,32.24057,4.885464668273926,15.371801376342772,1169.4991455078125,37.820057,5.072998046875,17.776742935180664
43,300000,[3],BayesLinear,5538.195217402,1085.2298583984375,31.441374,4.86032772064209,14.984841346740724,1105.8021240234375,37.396576,5.062726020812988,17.497314453125
43,300000,[3],SimplerBayesLinear,6532.502604039,1168.3089599609375,32.178623,4.88714599609375,15.29112148284912,1186.8662109375,37.687862,5.071782112121582,17.676786422729492
21,150000,[4],BayesLinear,3904.262179941,1420.715087890625,31.61122,4.866502285003662,15.162930488586426,1443.1141357421875,37.883774,5.087265491485596,17.94870376586914
21,150000,[4],SimplerBayesLinear,12993.124559263,1503.8834228515625,32.19884,4.885901927947998,15.37017059326172,1523.11767578125,37.774406,5.076326370239258,17.752044677734375
43,300000,[4],BayesLinear,7324.058883031001,1339.598876953125,31.280306,4.857365131378174,14.867759704589844,1361.5556640625,37.610577,5.075345993041992,17.569637298583984
43,300000,[4],SimplerBayesLinear,8630.589812694001,1569.0216064453125,32.03014,4.881415843963623,15.266486167907717,1588.17822265625,37.690514,5.072482585906982,17.70281982421875
21,150000,[5],BayesLinear,4883.598187982,1599.59765625,31.63967,4.865083694458008,15.0962495803833,1621.39697265625,37.78872,5.080645084381104,17.787973403930664
21,150000,[5],SimplerBayesLinear,14791.117530366,1807.9429931640625,32.078888,4.878809452056885,15.272833824157717,1828.0159912109373,37.867268,5.075607299804688,17.76427459716797
43,300000,[5],BayesLinear,9201.535081178,1467.4906005859375,31.309141,4.857826232910156,14.908147811889648,1488.265869140625,37.30829,5.062453746795654,17.470409393310547
43,300000,[5],SimplerBayesLinear,9749.931633208,1865.8448486328125,31.921968,4.876896381378174,15.202920913696287,1884.720947265625,37.523617,5.065016746520996,17.58340835571289
