,LOSS,RMSE,NLL,CRPS
0,1146.569,3.2275786,3.3980525,4.437933
1,860.812,2.9401777,3.3503156,4.020061
2,2778.508,5.070053,7.1131206,4.99278
3,699.552,2.8131285,3.0148234,4.9975777
4,700.0545,2.9390998,3.0345528,3.9148386
5,467.0096,2.4538324,2.5694394,5.9385133
6,408.082,2.332916,2.4447384,4.5019145
7,2198.2021,4.290484,4.451079,4.468594
8,1945.5559,3.987704,4.703331,5.1042886
9,1161.9648,3.153439,3.4507337,3.990951
10,997.1928,3.1268723,3.3666246,4.6852655
11,2450.4856,4.4106727,4.461979,5.2704506
12,636.1867,2.790302,2.9271078,3.9420068
13,2762.9785,4.727835,6.322279,4.9483123
14,1375.8745,3.383802,4.20585,4.701929
15,568.0994,2.598794,2.6488118,5.84063
16,1362.5897,3.45043,3.862073,4.875091
17,756.7295,2.8828943,3.1360147,4.071077
18,536.4806,2.5009542,2.575234,4.901884
19,498.03494,2.4434278,2.5962062,5.3380394
