split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
0,1,150000,100,airline,5.095962057481267,38.57880081979247,18.128838081359,1137.669891217
0,1,300000,100,airline,5.0599653753725296,37.795503274326926,17.789330225000025,2063.24275925
0,2,150000,100,airline,5.085434402739712,38.15528518725952,17.841665647634027,4798.495937743
0,2,300000,100,airline,5.054419662312459,37.52090960661516,17.5544623175429,18946.935006787
0,3,150000,100,airline,5.074277593455737,37.92760159207226,17.59990335381915,8445.868028958
0,3,300000,100,airline,5.057807227398877,37.669123741801336,17.25618226018339,33070.633877861
0,4,150000,100,airline,5.080939037035169,38.08954634646327,17.517559261506833,12331.71491438
0,4,300000,100,airline,5.0611464370586825,38.0817466003265,17.547438829761067,25084.462783568
0,5,150000,100,airline,5.080810590289407,38.15462477549988,17.675943419659546,16119.457366263
0,5,300000,100,airline,5.057943192892278,37.70931345421294,17.179254365899304,33650.044022003
