vip_layers,name_flag,time,LOSS,RMSE,NLL,CRPS
[1],,1217.742666002,229.33062744140625,10.236126,3.74489426612854,5.457592010498047
[2],,6068.001588493,2453.693603515625,9.59184,3.6794521808624263,5.096882343292236
[3],,5203.455255684,4271.67236328125,9.23566,3.6397664546966553,4.885398387908936
[4],,7118.52108011,4751.24853515625,9.244363,3.6399245262146,4.912754535675049
[5],,8942.142155939,5047.60791015625,9.244369,3.639803886413574,4.871126651763916
