,LOSS,RMSE,NLL,CRPS
0,1458.994,3.0951848,3.937798,4.412914
1,2306.268,3.6234086,5.602821,4.0402865
2,4873.5605,5.2286215,8.7667675,4.978533
3,1628.7511,3.2963653,4.5194817,5.0104084
4,1568.2605,3.2593474,4.3332114,3.9350798
5,1890.3636,3.5596576,4.9130907,5.9535427
6,1398.275,3.0999157,3.8217688,4.520128
7,3832.9832,4.82319,8.183448,4.4649415
8,4791.4546,4.94037,9.641552,5.13061
9,1387.337,3.1022885,3.964691,3.9905677
10,2131.5996,3.6571858,5.0686216,4.6802177
11,3069.319,4.3262687,5.786186,5.232963
12,1904.5493,3.4791431,4.998247,3.9355547
13,4612.629,5.2115583,9.164988,4.9471836
14,2524.2473,3.7831142,5.7724657,4.723959
15,665.17163,2.3385875,2.7163465,5.829671
16,2114.7246,3.578161,5.407166,4.8725767
17,2610.2642,3.79263,5.8337703,4.0238886
18,977.269,2.7079272,3.4824138,4.9080853
19,682.2189,2.4086676,2.726556,5.304884
