num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,dropout,lr,warmup,fix_prior_noise,freeze_prior,freeze_posterior,seed,split,activation_str,LOSS,RMSE,NLL,CRPS
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,0,tanh,458.1788024902344,5.3691144,3.2023680210113525,4.610959529876709
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,1,tanh,435.2773132324219,4.8276086,3.147755622863769,4.299189567565918
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,10,tanh,512.171875,6.4334874,3.296254396438598,4.8827433586120605
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,11,tanh,514.4544677734375,6.2817283,3.2802164554595947,5.26215410232544
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,12,tanh,450.6265258789063,5.3117824,3.1355643272399902,4.031842231750488
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,13,tanh,608.7657470703125,8.029468,3.502097845077514,5.229877948760986
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,14,tanh,472.9537963867188,5.568666,3.207516670227051,4.898543357849121
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,15,tanh,650.2734985351562,8.57068,3.5869245529174805,6.043345928192139
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,16,tanh,466.5030212402344,5.575857,3.200523614883423,4.986902713775635
1,200,BNN,boston,30000,"[1, 1, 1, 1, 1]","[10, 10]",20,1000,0.1,0.001,0,True,False,False,2147483647,17,tanh,405.2430114746094,4.340583,3.071211338043213,4.104108810424805
