split,layers,dataset,NLL,RMSE
12,3,concrete,3.195744144924712,5.945315696677702
12,3,boston,2.506112463503629,3.0130141865549245
10,1,boston,2.3895467631113045,2.7229605374886985
10,5,boston,2.405308217451244,2.7552611688392594
0,3,energy,0.7822683291514535,0.480117247807458
4,3,energy,0.6728587614800626,0.4502283614420851
10,4,concrete,3.150803629183024,5.650191170665523
3,5,boston,2.6564204876875936,3.873284167018253
0,4,concrete,3.0249211507873937,4.785912472752761
12,5,concrete,3.138931658515353,5.618592871195797
14,5,concrete,3.0607379300247697,5.11335900830718
18,2,concrete,3.164239898789463,6.149972463264651
12,2,energy,0.7074300270870159,0.4789134944262748
7,5,concrete,3.0261309429957985,4.836337910652409
7,1,energy,1.2111453340108047,0.8416043246746898
4,1,concrete,3.098404397583252,5.181375367626686
18,1,energy,1.0711299129447378,0.6881718490124841
8,1,energy,1.0526886057271942,0.6334324396386706
9,5,energy,0.7821218526837341,0.4572564143255159
11,5,energy,0.8738911968971385,0.5601620988685119
19,2,concrete,3.1097754500319503,5.372414604276427
7,4,concrete,3.09561456740222,5.230038313200065
0,4,energy,0.8156975643977505,0.4815943057856826
3,4,concrete,3.012216444005165,4.95209221453871
5,5,boston,2.5049986061507568,2.8770940215593312
5,2,energy,0.554525163006912,0.3792055730992865
2,4,boston,2.914269346117825,4.26158669210081
17,1,concrete,3.2579020257242277,6.697953374698889
10,2,boston,2.391752054691553,2.725593445613142
5,5,concrete,3.1605230427753432,5.888958313908352
13,5,concrete,3.014729663710516,4.823116307181969
16,2,concrete,3.2294148248070265,6.096676217560362
15,3,concrete,3.0370802931744008,5.118132339525988
7,4,boston,2.678573046623383,4.466698171387881
6,3,energy,0.7623300310648776,0.4218065017802783
12,1,concrete,3.187583885173695,5.89446154582165
2,5,energy,0.8345499490402564,0.5305912189442176
6,2,concrete,3.1251221359160097,5.590923941999018
18,3,boston,2.47975104758282,2.795780752387831
11,4,energy,0.8515636199899841,0.5423847249034126
9,4,boston,2.458776253491797,2.7741823855512613
17,4,energy,0.6536579415029948,0.4416908906551039
14,1,concrete,3.1385078052511477,5.59790065677605
0,2,concrete,3.113019456042703,5.430252346473816
6,5,energy,0.5626188939628194,0.3517629794141105
14,4,energy,0.7929028210975251,0.5343469028141652
13,2,boston,2.493644962446401,3.0767713591346206
6,1,energy,1.155843139171064,0.733725209387982
3,4,boston,2.620883634101365,3.6880207461961874
4,4,energy,0.8432950678933687,0.4958158129889091
2,3,boston,2.891789112798324,4.161329593839279
2,2,energy,0.6335846359407623,0.446495515618944
19,1,boston,2.342683883917685,2.674662663201117
7,4,energy,0.674557330624788,0.4542782609920717
19,1,energy,1.061005786505251,0.5890829371420656
13,3,energy,0.6766084653344767,0.458161587570009
7,5,energy,0.6886494920264601,0.4631617312604851
1,4,energy,0.7966184208757334,0.4372850698753351
11,2,boston,2.4985947654808154,2.941124226152588
6,1,boston,2.6464165026408857,3.3337501589550014
11,2,energy,0.7523563546716534,0.5136831731081827
7,5,boston,2.695183749755208,4.530115587245605
13,3,boston,2.489051311770562,3.119137597139646
17,2,boston,2.66244690211975,3.655753822146653
1,5,boston,3.48497510231005,5.567017078763463
6,4,concrete,3.057688169178901,5.136170505069716
11,1,boston,2.506316492031351,2.955667477308457
3,3,energy,0.6712551632611108,0.4467600614989676
10,1,energy,1.189401549404154,0.7932082318295536
13,2,energy,0.6611007921700498,0.4566537511023681
0,1,concrete,3.10717616517345,5.394754037286703
5,4,boston,2.5067232292677857,2.888234214151485
5,3,concrete,3.2157854535368378,6.357711512414347
18,1,boston,2.468413392238249,2.717354143715605
4,2,concrete,3.107711272257238,5.214995881587136
7,2,boston,2.663958486314049,4.481919652393444
18,3,concrete,3.176647353176183,6.199464215123101
4,3,boston,2.6502178395881693,4.2407106678711415
10,3,boston,2.404753300735172,2.758138235458152
15,3,boston,2.4906623367919343,2.8886798961570084
3,1,concrete,3.040749268647514,5.176121312161394
1,2,concrete,3.1226798754622545,5.799030404393757
9,1,energy,1.0927255625543402,0.6695621659425108
1,3,concrete,3.133941381026032,5.872110130615062
17,1,energy,1.135597032905006,0.7110470919224744
4,5,concrete,2.998040590499516,4.561364406108819
15,5,concrete,3.0519037213298628,5.183941434487133
17,4,concrete,3.284143384986498,6.864779431890315
13,5,boston,2.4715779877417186,2.9720424946711264
5,3,boston,2.5192988181624383,2.9285383338946853
8,1,boston,2.380710281227995,2.4896700497983435
3,5,energy,0.7930324284031273,0.514606918831194
5,1,boston,2.540044112107951,3.007958887170576
6,4,boston,2.619156176814864,3.3202551085698664
6,4,energy,0.599947034341994,0.3663252495277782
14,3,energy,0.7713034974527703,0.5226017854406196
17,1,boston,2.656050733723613,3.6134780475142887
13,3,concrete,2.995924282150033,4.780698369133681
1,5,energy,0.7692636780496092,0.4246008336165511
10,2,energy,0.9018430658378168,0.5890736483208866
8,4,concrete,3.0629526681670094,5.048098168699032
14,2,energy,0.7363380392998383,0.5038311184552483
19,2,energy,0.7656992876524684,0.5091550986291135
0,4,boston,2.712849562795625,3.835205380694339
1,3,boston,3.5067080416030216,5.55394450308519
14,3,boston,2.633542163914758,3.56461435858843
6,2,boston,2.632917019907143,3.3092764321807
17,5,concrete,3.2885398572192845,6.892390317003499
16,1,concrete,3.2268054283453003,6.085304274141643
10,4,boston,2.398217729929552,2.7238818135921155
19,5,energy,0.7826351925238383,0.5192419638272207
4,5,boston,2.632860805849635,4.180074806092715
14,2,boston,2.6112613485810483,3.491105798027748
7,1,concrete,3.0761386821512526,5.151092945153582
15,1,boston,2.491489170429268,2.8693063655084834
17,3,concrete,3.272970327886058,6.757134797865995
8,2,concrete,3.066026888766696,5.1080199005612
19,3,concrete,3.1218666329869604,5.415944926571222
9,3,concrete,3.2349524589065304,6.314837639323471
5,3,energy,0.6026570724880979,0.4110383212922995
16,5,energy,0.6357037477171739,0.4141566082874613
14,3,concrete,3.135424711907405,5.589493340261143
2,3,concrete,3.092307997018507,5.630788723010261
0,3,concrete,3.12209848365924,5.465074158296783
14,2,concrete,3.138899529855086,5.601750113418271
14,4,boston,2.619649219951255,3.5536990516880285
14,5,energy,0.7473720892864284,0.5103726928659819
11,3,boston,2.49836944446061,2.9330611397784647
4,3,concrete,3.0415185010874457,4.762326762399002
15,4,energy,0.6281767263465091,0.4209965667226638
15,1,energy,1.1313222113169028,0.7191293909768043
18,5,boston,2.480738124343519,2.8051381029993347
17,3,boston,2.650011637536286,3.63745915908893
0,1,energy,1.0285843548480047,0.6044816418624197
11,5,boston,2.484699062259357,2.887176107601194
6,3,concrete,3.1287658469751545,5.594362585136012
18,1,concrete,3.171704178059508,6.247062559767265
