Unnamed: 0,num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,activation,dropout,lr,warmup,fix_prior_noise,prior_kl,zero_mean_prior,freeze_prior,freeze_posterior,show,seed,verbose,dtype,split,dataset,activation_str,device,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
0,1,200,BNN,boston,40000,[5],[10],20,10000,<built-in method tanh of type object at 0x7f4cff64c1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,6,<utils.dataset.Boston_Dataset object at 0x7f4d0593b100>,tanh,cpu,4.5001325607299805,1.3339226,1.8964216709136963,0.8022035956382751,531.333984375,3.0038223,2.725987911224365,1.5840076208114624
0,1,200,BNN,kin8nm,40000,[1],[10],20,10000,<built-in method tanh of type object at 0x7ff16ac101e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.Kin8nm_Dataset object at 0x7ff173700100>,tanh,cpu,3628.488037109375,0.09397275,-0.9214494824409484,0.0526577159762382,3542.807373046875,0.09264188,-0.9313439726829528,0.0518794991075992
0,1,200,BNN,kin8nm,40000,[3],[10],20,10000,<built-in method tanh of type object at 0x7f9f39be91e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,11,<utils.dataset.Kin8nm_Dataset object at 0x7f9f3fed8100>,tanh,cpu,2221.453125,0.067139246,-1.2104971408843994,0.038578700274229,2738.1884765625,0.07345092,-1.1585127115249634,0.0413160324096679
0,1,200,BNN,boston,40000,[3],[10],20,10000,<built-in method tanh of type object at 0x7f02fdfe91e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.Boston_Dataset object at 0x7f03042d8100>,tanh,cpu,27.32599258422852,1.1964777,1.837729811668396,0.7433966398239136,2020.5189208984373,5.121048,2.4134929180145264,2.017864465713501
0,1,200,BNN,concrete,40000,[4],[10],20,10000,<built-in method tanh of type object at 0x7fa128cbd1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.Concrete_Dataset object at 0x7fa1317ad130>,tanh,cpu,149.25099182128906,2.903962,2.663482189178467,1.7414766550064087,935.1162719726562,5.9172726,3.198965311050415,2.877669334411621
0,1,200,BNN,energy,40000,[2],[10],20,10000,<built-in method tanh of type object at 0x7f2bcd3db1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,16,<utils.dataset.Energy_Dataset object at 0x7f2bd36ca100>,tanh,cpu,-704.3858642578125,0.44003597,0.960378110408783,0.294042706489563,-688.446044921875,0.43975133,0.9681586027145386,0.2942984402179718
0,1,200,BNN,power,40000,[5],[10],20,10000,<built-in method tanh of type object at 0x7f6eda2951e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.Power_Dataset object at 0x7f6ee0584100>,tanh,cpu,-105.79810333251952,3.804537,2.762174367904663,2.068449020385742,-424.0207214355469,3.6387687,2.7252895832061768,2.044252395629883
0,1,200,BNN,kin8nm,40000,[3],[10],20,10000,<built-in method tanh of type object at 0x7feecda0f1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,2,<utils.dataset.Kin8nm_Dataset object at 0x7feed64f7100>,tanh,cpu,2297.9599609375,0.06732468,-1.202858805656433,0.0387784615159034,3194.384521484375,0.077921055,-1.1109797954559326,0.0439875498414039
0,1,200,BNN,boston,40000,[4],[10],20,10000,<built-in method tanh of type object at 0x7fb1728771e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.Boston_Dataset object at 0x7fb178b66100>,tanh,cpu,-4.766383647918701,1.2573998,1.8456937074661253,0.7646147012710571,1282.41650390625,4.236559,3.2424392700195312,1.9305267333984373
0,1,200,BNN,winered,40000,[1],[10],20,10000,<built-in method tanh of type object at 0x7f0f17b381e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,4,<utils.dataset.WineRed_Dataset object at 0x7f0f20628130>,tanh,cpu,1477.1009521484375,0.48888132,0.7214615345001221,0.273442804813385,2111.873779296875,0.69452596,1.1043007373809814,0.3880771994590759
