Unnamed: 0,num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,activation,dropout,lr,warmup,fix_prior_noise,prior_kl,freeze_prior,freeze_posterior,show,seed,verbose,dtype,split,dataset,activation_str,device,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
0,1,200,BNN,boston,30000,[4],[10],20,10000,<built-in method tanh of type object at 0x7f9ff2c891e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.Boston_Dataset object at 0x7f9f89563e50>,tanh,cpu,560.0042724609375,3.2588992,2.627473831176758,1.8144315481185915,1060.3929443359375,6.4743547,3.551767587661743,2.6998133659362797
0,1,200,BNN,energy,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7fd273f8f1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,4,<utils.dataset.Energy_Dataset object at 0x7fd20d06ae50>,tanh,cpu,-804.7108764648438,0.48854926,0.7029393911361694,0.2670789659023285,-857.7576904296875,0.4933645,0.7117888331413269,0.2782533466815948
0,1,200,BNN,winered,30000,[2],[10],20,10000,<built-in method tanh of type object at 0x7f083933a1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,9,<utils.dataset.WineRed_Dataset object at 0x7f07d2185e80>,tanh,cpu,1829.981689453125,0.614366,0.9338575005531312,0.341480940580368,1788.0482177734375,0.61665356,0.9363526701927184,0.345935046672821
0,1,200,BNN,energy,30000,[4],[10],20,10000,<built-in method tanh of type object at 0x7f3c3315c1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.Energy_Dataset object at 0x7f3bc97a1e80>,tanh,cpu,-139.0644073486328,0.6696342,1.0940762758255005,0.3850740492343902,-196.156494140625,0.6383885,1.0525745153427124,0.3640639781951904
0,1,200,BNN,boston,30000,[3],[10],20,10000,<built-in method tanh of type object at 0x7f43904681e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,7,<utils.dataset.Boston_Dataset object at 0x7f432953ae80>,tanh,cpu,488.440185546875,2.8830216,2.503774881362915,1.5959124565124512,868.6591796875,4.826061,2.7645998001098637,2.1373538970947266
0,1,200,BNN,boston,30000,[2],[10],20,10000,<built-in method tanh of type object at 0x7fcbd056a1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,8,<utils.dataset.Boston_Dataset object at 0x7fcb69645e80>,tanh,cpu,414.1853637695313,2.6952276,2.447704792022705,1.5040241479873655,398.7980346679688,2.9696515,2.5204436779022217,1.621050477027893
0,1,200,BNN,boston,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7fedc2b2a1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,7,<utils.dataset.Boston_Dataset object at 0x7fed5bc02e80>,tanh,cpu,286.0359802246094,2.8714108,2.471101760864258,1.5658668279647827,707.34423828125,4.5185328,3.1254425048828125,2.130360841751098
0,1,200,BNN,boston,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7f28bfbd41e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,13,<utils.dataset.Boston_Dataset object at 0x7f2858cafe80>,tanh,cpu,307.1005554199219,3.102097,2.549729824066162,1.7146077156066897,345.8739929199219,3.291145,2.612276554107666,1.8204783201217647
0,1,200,BNN,power,30000,[4],[10],20,10000,<built-in method tanh of type object at 0x7f81500db1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,10,<utils.dataset.Power_Dataset object at 0x7f80e6717e80>,tanh,cpu,923.7474975585938,4.069461,2.8237457275390625,2.228121757507324,910.141845703125,4.132802,2.838203191757202,2.2823498249053955
0,1,200,BNN,concrete,30000,[5],[10],20,10000,<built-in method tanh of type object at 0x7f1688fe21e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,0,<utils.dataset.Concrete_Dataset object at 0x7f161f627e50>,tanh,cpu,871.8507690429688,5.4680724,3.1485073566436768,3.078930616378784,941.6044921875,5.606957,3.1752376556396484,3.198462009429932
0,1,200,BNN,protein,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7ff39f5391e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.Protein_Dataset object at 0x7ff335b75e50>,tanh,cpu,46921.98046875,4.5761404,2.939891576766968,2.5710244178771973,47282.2734375,4.618782,2.9494457244873047,2.601438283920288
0,1,200,BNN,concrete,30000,[2],[10],20,10000,<built-in method tanh of type object at 0x7faf73ec61e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.Concrete_Dataset object at 0x7faf0a50be50>,tanh,cpu,584.3418579101562,4.92191,3.0243489742279053,2.758729219436645,972.4122924804688,6.91862,3.3707494735717773,3.5822746753692627
0,1,200,BNN,boston,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7f8d7b69c1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,5,<utils.dataset.Boston_Dataset object at 0x7f8d14777e50>,tanh,cpu,294.3288269042969,3.015218,2.520887613296509,1.6412030458450315,329.58837890625,3.1578825,2.571124792098999,1.7464470863342283
0,1,200,BNN,winered,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7fe47bec01e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,4,<utils.dataset.WineRed_Dataset object at 0x7fe412501e50>,tanh,cpu,1735.58447265625,0.59041876,0.8919405341148376,0.3282444775104522,1847.5496826171875,0.64863163,0.9912762641906738,0.3593839406967163
0,1,200,BNN,concrete,30000,[3],[10],20,10000,<built-in method tanh of type object at 0x7f745c7ce1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,8,<utils.dataset.Concrete_Dataset object at 0x7f73f2e13e80>,tanh,cpu,705.1546630859375,5.193792,3.080843925476074,2.9126782417297363,709.8622436523438,5.2542624,3.0985281467437744,2.900043487548828
0,1,200,BNN,boston,30000,[4],[10],20,10000,<built-in method tanh of type object at 0x7fb7b6e2e1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.Boston_Dataset object at 0x7fb74d708e50>,tanh,cpu,569.9638671875,3.5748434,2.7182438373565674,1.956387281417847,867.7784423828125,5.7877016,3.183666944503784,2.741628408432007
0,1,200,BNN,boston,30000,[1],[10],20,10000,<built-in method tanh of type object at 0x7fc2af2e91e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,6,<utils.dataset.Boston_Dataset object at 0x7fc2483c1e80>,tanh,cpu,289.5458068847656,3.102467,2.5481247901916504,1.6963485479354858,436.1507873535156,4.007721,2.887606620788574,2.072343587875366
0,1,200,BNN,power,30000,[5],[10],20,10000,<built-in method tanh of type object at 0x7f91feee81e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,15,<utils.dataset.Power_Dataset object at 0x7f9195524e80>,tanh,cpu,849.524658203125,4.074463,2.824078321456909,2.2347283363342285,1323.1448974609375,4.2975483,2.877530574798584,2.290622472763061
0,1,200,BNN,energy,30000,[3],[10],20,10000,<built-in method tanh of type object at 0x7f466a12a1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,16,<utils.dataset.Energy_Dataset object at 0x7f4602f67e80>,tanh,cpu,-238.0091094970703,0.6203696,1.0281047821044922,0.3610912263393402,-270.7767944335937,0.6512014,1.0268388986587524,0.3655523955821991
0,1,200,BNN,winered,30000,[4],[10],20,10000,<built-in method tanh of type object at 0x7f229aa2b1e0>,0.0,0.001,0,False,True,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.WineRed_Dataset object at 0x7f223106de50>,tanh,cpu,1891.6925048828125,0.6199218,0.9434778690338136,0.3449573516845703,2028.239990234375,0.67403305,1.0251624584197998,0.3729667961597442
