Unnamed: 0,num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,final_layer_mu,final_layer_sqrt,final_layer_noise,inner_layers_mu,inner_layers_sqrt,inner_layers_noise,bnn_inner_dim,bnn_structure,regression_coeffs,batch_size,activation,dropout,lr,warmup,fix_prior_noise,prior_kl,zero_mean_prior,freeze_prior,freeze_posterior,show,seed,verbose,dtype,split,dataset,activation_str,device,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
0,1,200,BNN,concrete,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fa1fc8181e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,11,<utils.dataset.Concrete_Dataset object at 0x7fa1958f4400>,tanh,cpu,1366.4061279296875,4.3843203,4.135220050811768,6.044260501861572,1374.4873046875,5.032298,4.139766693115234,6.138905048370361
0,1,200,BNN,concrete,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f294c2a91e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,15,<utils.dataset.Concrete_Dataset object at 0x7f28e5382400>,tanh,cpu,1377.1502685546875,4.829243,4.145571231842041,6.148025989532471,1378.9798583984375,4.886363,4.146093845367432,6.156199455261231
0,1,200,BNN-GP,boston,20000,[5],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,16,<utils.dataset.Boston_Dataset object at 0x7f102b6be400>,tanh,cpu,720.5401000976562,2.503052,3.590551376342773,3.498785972595215,748.5914916992188,4.186056,3.6236824989318848,3.815232753753662
0,1,200,BNN,energy,40000,[5],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f9b5552f1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,6,<utils.dataset.Energy_Dataset object at 0x7f9aee603400>,tanh,cpu,997.9368286132812,1.097166,3.5969722270965576,3.425041913986206,997.6802368164062,1.0163318,3.596633195877075,3.420606851577759
0,1,200,BNN,concrete,40000,[1],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f4833f0b1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,10,<utils.dataset.Concrete_Dataset object at 0x7f47ca7d4400>,tanh,cpu,1380.30517578125,5.036597,4.131718635559082,6.094313144683838,1398.0819091796875,6.0997143,4.1417646408081055,6.273502349853516
0,1,200,BNN-GP,concrete,20000,[1],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,6,<utils.dataset.Concrete_Dataset object at 0x7faa0d32b400>,tanh,cpu,1369.107666015625,3.1732924,4.114185810089111,5.821683406829834,1410.9869384765625,6.031881,4.136815071105957,6.244726657867432
0,1,200,BNN,concrete,40000,[1],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fe9a6c0f1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,15,<utils.dataset.Concrete_Dataset object at 0x7fe93d4e3400>,tanh,cpu,1380.5855712890625,4.880394,4.142011642456055,6.1339111328125,1385.407470703125,5.213022,4.144631385803223,6.183454513549805
0,1,200,BNN-GP,energy,20000,[2],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,16,<utils.dataset.Energy_Dataset object at 0x7f0bda58a400>,tanh,cpu,991.2938842773438,0.46589684,3.5924880504608154,3.390773296356201,991.5399780273438,0.58299726,3.59271502494812,3.393923282623291
0,1,200,BNN-GP,boston,20000,[4],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,18,<utils.dataset.Boston_Dataset object at 0x7f1071b2d400>,tanh,cpu,679.6738891601562,1.4150848,3.518203020095825,3.1859490871429443,735.58349609375,4.8404555,3.5784854888916016,3.7303760051727295
0,1,200,BNN,energy,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f7c65f981e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,15,<utils.dataset.Energy_Dataset object at 0x7f7bff077400>,tanh,cpu,995.8087768554688,0.8805345,3.5816490650177,3.3652594089508057,996.1837768554688,0.90567124,3.581870555877685,3.366901159286499
0,1,200,BNN-GP,winered,20000,[1],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.WineRed_Dataset object at 0x7fdd060484f0>,tanh,cpu,2183.01220703125,0.2165809,1.1405928134918213,0.3022316694259643,2543.31298828125,0.66283274,1.270691156387329,0.4165341258049011
0,1,200,BNN,boston,40000,[5],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f168b60e1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,0,<utils.dataset.Boston_Dataset object at 0x7f1621ed64f0>,tanh,cpu,666.7696533203125,2.0717704,3.5239691734313965,3.25080943107605,698.2587280273438,3.8308368,3.553650140762329,3.5466644763946533
0,1,200,BNN,energy,40000,[4],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fcfa960a1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,4,<utils.dataset.Energy_Dataset object at 0x7fcf3fee84f0>,tanh,cpu,995.4300537109376,0.98941183,3.5954039096832275,3.415395498275757,994.9509887695312,0.9012024,3.595142126083374,3.4113035202026367
0,1,200,BNN,energy,40000,[1],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fa97dc8f1e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,13,<utils.dataset.Energy_Dataset object at 0x7fa916d69400>,tanh,cpu,995.8959350585938,0.826592,3.592057466506958,3.39838981628418,996.19921875,0.8794097,3.5922739505767822,3.4008772373199463
0,1,200,BNN-GP,boston,20000,[2],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.Boston_Dataset object at 0x7f783a2594f0>,tanh,cpu,667.3269653320312,0.92671114,3.517787456512451,3.160783290863037,695.7496337890625,3.4291325,3.549355983734131,3.481313467025757
0,1,200,BNN,winered,40000,[1],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f24b20f41e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.WineRed_Dataset object at 0x7f24489b34f0>,tanh,cpu,2326.83203125,0.48890203,1.239364504814148,0.3706061244010925,2424.018310546875,0.6040055,1.2776882648468018,0.4062889814376831
0,1,200,BNN-GP,energy,20000,[5],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,18,<utils.dataset.Energy_Dataset object at 0x7f1114942400>,tanh,cpu,999.6030883789062,0.6237198,3.587634563446045,3.377760410308838,1000.9634399414062,0.7760727,3.58878231048584,3.385772705078125
0,1,200,BNN,energy,40000,[5],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f2231c0e1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,5,<utils.dataset.Energy_Dataset object at 0x7f21cace04f0>,tanh,cpu,996.62060546875,1.0375326,3.596712350845337,3.421710252761841,998.1261596679688,1.2391346,3.597947120666504,3.434752941131592
0,1,200,BNN,winered,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f49705b41e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,10,<utils.dataset.WineRed_Dataset object at 0x7f490968f400>,tanh,cpu,2314.872314453125,0.5161659,1.2411826848983765,0.3763471245765686,2399.76806640625,0.61159146,1.27479887008667,0.4073053896427154
0,1,200,BNN,winered,40000,[1],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f7d2a4d41e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,14,<utils.dataset.WineRed_Dataset object at 0x7f7cc0dad400>,tanh,cpu,2348.877685546875,0.51207864,1.241347074508667,0.3755843043327331,2490.5341796875,0.6713957,1.2994966506958008,0.4281553030014038
0,1,200,BNN-GP,energy,20000,[1],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,9,<utils.dataset.Energy_Dataset object at 0x7f0fdbbce400>,tanh,cpu,993.754150390625,0.48409396,3.58536958694458,3.3671200275421143,994.4727172851562,0.6208897,3.585850715637207,3.3716955184936523
0,1,200,BNN,boston,40000,[4],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f2acf6e21e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,0,<utils.dataset.Boston_Dataset object at 0x7f2a65fb64f0>,tanh,cpu,671.9805297851562,2.1379502,3.530123472213745,3.27510142326355,721.3046264648438,4.905751,3.584057331085205,3.7450008392333984
0,1,200,BNN,energy,40000,[2],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f8ba07741e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,2,<utils.dataset.Energy_Dataset object at 0x7f8b398484f0>,tanh,cpu,986.9583129882812,0.51509255,3.59104585647583,3.386838912963867,987.2789916992188,0.6473856,3.5913350582122803,3.390810012817383
0,1,200,BNN,winered,40000,[4],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f886c70a1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,1,<utils.dataset.WineRed_Dataset object at 0x7f88057db4f0>,tanh,cpu,2329.76953125,0.5386318,1.266876459121704,0.3880179524421692,2346.9619140625,0.56095105,1.2735116481781006,0.394802451133728
0,1,200,BNN-GP,winered,20000,[3],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.WineRed_Dataset object at 0x7faef1f52400>,tanh,cpu,2194.954833984375,0.20248114,1.120681881904602,0.2953473031520843,2546.78564453125,0.6331019,1.2447243928909302,0.4005536139011383
0,1,200,BNN,energy,40000,[2],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fba3c1e71e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,13,<utils.dataset.Energy_Dataset object at 0x7fb9d52b1400>,tanh,cpu,992.1195068359376,0.8332361,3.591882467269897,3.398012399673462,992.7347412109376,0.9345349,3.5924060344696045,3.4032633304595947
0,1,200,BNN,winered,40000,[2],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fa0473581e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,12,<utils.dataset.WineRed_Dataset object at 0x7f9fddc32400>,tanh,cpu,2324.612548828125,0.52753973,1.250352144241333,0.38127601146698,2432.636474609375,0.649148,1.2943557500839231,0.4220902919769287
0,1,200,BNN,winered,40000,[4],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f8e369871e0>,0.1,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.WineRed_Dataset object at 0x7f8dcfa58400>,tanh,cpu,2321.764404296875,0.4994277,1.2383660078048706,0.3719160556793213,2435.836669921875,0.6331919,1.284345626831055,0.4137791395187378
0,1,200,BNN,boston,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f916ca081e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,17,<utils.dataset.Boston_Dataset object at 0x7f91032dd400>,tanh,cpu,673.1337890625,2.304136,3.543670654296875,3.3323187828063965,682.8837280273438,2.9531708,3.553760290145874,3.4322006702423096
0,1,200,BNN,boston,40000,[5],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fdda33ef1e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,2,<utils.dataset.Boston_Dataset object at 0x7fdd3c237eb0>,tanh,cpu,672.6063232421875,2.2362573,3.539928674697876,3.314416646957397,680.95166015625,2.881968,3.5494823455810547,3.413240671157837
0,1,200,BNN-GP,energy,20000,[3],0,1.0,,0.0,1e-05,-13,50,"[10, 10]",20,10000,tanh,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,19,<utils.dataset.Energy_Dataset object at 0x7f1706f13400>,tanh,cpu,991.3146362304688,0.4999275,3.5874102115631104,3.3742847442626958,991.6630859375,0.60035974,3.587667465209961,3.3773133754730225
0,1,200,BNN,concrete,40000,[3],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7fa95a3d91e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,9,<utils.dataset.Concrete_Dataset object at 0x7fa8f34b2400>,tanh,cpu,1375.8603515625,4.779162,4.147670745849609,6.155139923095703,1386.294677734375,5.473191,4.153586387634277,6.266745567321777
0,1,200,BNN,winered,40000,[4],0,1.0,,0.0,1e-05,-13,10,[10],20,10000,<built-in method tanh of type object at 0x7f7a3b2c91e0>,0.2,0.001,0,True,False,False,False,False,False,2147483647,1,torch.float64,3,<utils.dataset.WineRed_Dataset object at 0x7f79d439a4f0>,tanh,cpu,2315.26611328125,0.52078736,1.2502306699752808,0.3792707622051239,2359.923583984375,0.5780292,1.268692970275879,0.3979761898517608
