num_samples_train,num_samples_test,genf,dataset_name,epochs,vip_layers,bnn_structure,regression_coeffs,batch_size,dropout,lr,warmup,fix_prior_noise,freeze_prior,freeze_posterior,seed,split,activation_str,LOSS,RMSE,NLL,CRPS
1,200,BNN,boston,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,3104.927978515625,2.5659258,8.635486602783203,4.6891632080078125
1,200,BNN,concrete,40000,[1],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,2,tanh,307.2109069824219,5.277938,3.082704305648804,9.589581489562988
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,171.8253173828125,2.38332,2.2976322174072266,4.958128929138184
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,9,tanh,-866.92919921875,0.4695839,0.8696568608283997,5.279153347015381
1,200,BNN,concrete,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,17,tanh,712.6192016601562,6.2823553,3.3393826484680176,9.481009483337402
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,2,tanh,-863.2960205078125,0.49119475,0.8795941472053528,5.21256685256958
1,200,BNN,boston,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,1,tanh,1516.474365234375,5.926225,5.1771345138549805,4.757633686065674
1,200,BNN,energy,40000,[5],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,14,tanh,-699.6802978515625,0.6312442,1.122778296470642,5.759199142456055
1,200,BNN,energy,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,-766.3140258789062,0.6313086,1.0073310136795044,5.826426029205322
1,200,BNN,energy,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,-686.5341796875,0.49392578,1.203410029411316,5.575806140899658
1,200,BNN,concrete,40000,[1],"[200, 200]",20,10000,0.1,0.001,0,True,False,False,2147483647,10,tanh,4207.08203125,5.491093,7.173981189727783,9.67096996307373
1,200,BNN,boston,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,19,tanh,402.5190124511719,3.168824,2.646892547607422,4.8479509353637695
1,200,BNN,concrete,40000,[3],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,18,tanh,632.8016967773438,6.5828815,3.3217389583587646,9.453908920288086
1,200,BNN,concrete,40000,[2],"[10, 10]",20,10000,0.1,0.001,0,True,False,False,2147483647,5,tanh,440.5573425292969,5.2648954,3.0832009315490723,10.104519844055176
